English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which acid present in tamarind?,তেঁতুলে কোন এসিড থাকে?,Malic,Citric,Oxalic,Tartaric,ম্যালিক,সাইট্রিক,অক্সালিক,টারটারিক,d
By which two elements fuse is made?,কোন মৌল দুটির সাহায্যে ফিউজ প্রস্তুত করা হয়?,Lead and Zinc,Zinc and Tin,Lead and Tin,Lead and Iron,সীসা ও জিঙ্ক,জিঙ্জ ও টিন,সীসা ও টিন,সীসা ও লোহা,c
Which on is the tertiary consumer of sundarbans?,সুন্দরবনের তৃতীয় স্তরের খাদক কোনটি?,Pig,Deer,Monkey,Hen,শুকর,হরিণ,বানর,মুরগি,a
Which hormone is sybtgesuzed in leaves?,পাতায় উৎপন্ন হরমোন কোনটি?,Auxin,Ethylene,Florigen,Gibberellin,অক্সিন,ইথিলিন,ফ্লোরিজেন,জিব্বেরেলিন,c
Which one is used as insecticide?,ফসলের ক্ষতিকর পেস্ট দমন করে কোনটি?,NH_{4}OH,NaOH,Mg(OH)_{2},Ca(OH)_{2},NH_{4}OH,NaOH,Mg(OH)_{2},Ca(OH)_{2},d
How much energy can get from 10gm butter,১০ গ্রাম মাখন থেকে কত কিলোক্যালরি শক্তি পাওয়া যায়?,40 Kilocalorie,45 Kilocalorie,64 Kilocalorie,90 Kilocalorie,৪০ কিলোক্যালরি,৪৬ কিলোক্যালরি,৬৪ কিলোক্যালরি,৯০ কিলোক্যালরি,d
Which one is the characteristic of platypus?,প্লাটিপাসের বৈশিষ্ট্য কোনটি?,The sucked milk from mammary gland,Cold blooded animal,They move by crawling,They give birth of child,মতৃদুগ্ধ পান করে,শীতল রক্তবিশিষ্ট,বুকে ভর করে চলে,সন্তান প্রসব করে,a
"CaCO_{3}\xrightarrow[]{heat}CaO+Z 
 'Z' componun-
 i. helps to stop firing 
 ii. Helps to occur phtosynthesis
 iii. Create the lime water opaque
 Which one is correct?","CaCO_{3}\xrightarrow[]{তাপ}CaO+Z
'Z' যৌগটি- 
 i. আগুন নিভাতে সাহায্য করে
 ii. সালোকসংশ্লেষণে সাহায্য করে
 iii. চুনের পানি ঘোলা করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"CaCO_{3}\xrightarrow[]{heat}CaO+Z
 How many atoms are in Z compund?","CaCO_{3}\xrightarrow[]{তাপ}CaO+Z
'Z' যৌগটিতে পরমাণুর সংখ্যা কত?",2,3,4,5,2,3,4,5,b
In which stage of cell division centromere is presented in every chromatid?,কোষ বিভাজনের কোন ধাপে প্রত্যেক ক্রোমোটিডে একটি সেস্ট্রোমিয়ার থাকে?,Prophase,Pro-metaphase,Metaphase,Anapase,প্রোফেজ,প্রোমেটাফেজ,মেটাফেজ,অ্যানাফেজ,d
Which satellite helps to watch the World Cup Cricket-2019?,“বিশ্বকাপ ক্রিকেট ২০১৯” দেখতে সাহায্য করেছিল কোন উপগ্রহ?,Communication satellite,Weather satellite,Military Satellite,Earth observation satellite,যোগাযোগ,আবহাওয়া,সামরিক,পৃথিবী পর্যবেক্ষণকারী,a
What is the atomic number of neon?,নিয়নের পারমাণবিক সংখ্যা কত?,8,9,10,11,8,9,10,11,c
Which one is the animal pollinated flower?,প্রাণীপরাগী ফুল কোনটি?,China rose,Shimul,Mustard,Pumpkin,জবা,শিমুল,সরিষা,কুমড়া,b
"The symptoms of anemia is-
 i. loss of weight
 ii. Loss of appetite 
 iii. Weakness
 Which one is correct?","অ্যানিমিয়া রোগের লক্ষণ-
 i. ওজন কমে যাওয়া
 ii. খাওয়ায় অনীহা 
 iii. দুর্বল লাগা 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the electron distribution of Mg^{2+} ?,Mg^{2+} এর ইলেকট্রনবিন্যাস কোনটি?,"2,8","2,8,1","2,8,2","2,8,4","২,৮","২,৮,১","২,৮,২","২,৮,৪",a
What is the next planet of earth in solar system?,সৌরজগতে পৃথিবীর পরের গ্রহটির নাম কী?,Uranus,Jupiter,Mars,Saturn,ইউরেনাস,বৃহস্পতি,মঙ্গল,শনি,c
