English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What type of mirror is used as the rear view mirror in the vehicles?,গাড়ির রিয়ার ভিউ মিরর হিসাবে কোন ধরনের দর্পণ ব্যবহৃত হয়?,Concave,Convex,Plain,Convergent,অবতল,উত্তল,সমতল,অভিসারী,b
"A toy car of mass 1kg is moving on a frictionless floor at 1ms^{-1} velocity. You push the car towards its motion with 1N force.
 
 In this incident after 5s-
  i. the kinetic energy of the toy car will be 18J
  ii. amount of work done by you is 17.5J
  iii. difference of energy is 17.53 
 Which one is correct?","ঘর্ষণবিহীন কোনো মেঝেতে 1 ms^{-1} বেগে গতিশীল 1 kg ভরের খেলনা গাড়ির গতির দিকে তুমি 1 N বলে ধাক্কা দিলে।
 
 উক্ত ঘটনার 5 s পর-
 i. গাড়িটির গতিশক্তি হবে 18 J
 ii. তোমার কৃতকাজ 17.5 J
 iii. শক্তির পরিবর্তন 17.5 J
 নিচের কোনটি সঠিক?",i,ii,iii,"I,ii and iii",i,ii,iii,"I,ii and iii",d
Vernier constant is-,ভার্নিয়ার ধ্রুবক হচ্ছে-,The difference between the length of the smallest division of the main scale and one division of vemier scale,The ratio of the length of the smallest division of the main scale and one division of vernier scale,The length of one division of vemier scale,The length of the smallest division of the main scale,মূল স্কেলের ক্ষুদ্রতম একভাগ ও ভার্নিয়ার স্কেলের এক ভাগের দৈর্ঘ্যের পার্থক্য,মূল স্কেলের ক্ষুদ্রতম এক ভাগ ও ভার্নিয়ার স্কেলের এক ভাগের দৈর্ঘ্যের অনুপাত,ভার্নিয়ার স্কেলের এক ভাগের দৈর্ঘ্য,মূল স্কেলের ক্ষুদ্রতম এক ভাগের দৈর্ঘ্য,a
What is the required velocity for an object to be thrown straight upwards so that it falls to the ground after 10?,একটি বস্তুকে খাড়া উপরের দিকে কত বেগে নিক্ষেপ করলে তা 10 s পর ভূপৃষ্ঠে পতিত হবে?,4.9ms^{-1},9.8ms^{-1},49ms^{-1},98ms^{-1},4.9ms^{-1},9.8ms^{-1},49ms^{-1},98ms^{-1},c
A vehicle moves 6m straight northwards from its position and from there moves 8m further eastwards straight. What is the difference between the vehicle's travelled distance and displacement?,একটি গাড়ি একস্থান থেকে 6 m সোজা উত্তর দিকে গিয়ে সেখান থেকে সোজা পূর্বদিকে 8 m অতিক্রম করলো। গাড়িটির অতিক্রান্ত দূরত্ব ও সরণের পার্থক্য কত?,24m,8.71m,4m,2m,24m,8.71m,4m,2m,c
"If an object is placed 5m away from a mirror it produces a virtual image.
 
 What is the focal length of the mirror?","কোনো দর্পণ হতে 5 m দূরে বস্তু রাখলে 3 m দূরে অবাসতব বিম্ব পাওয়া যায়।
 
 দর্পণটির ফোকাস দূরত্ব কত?",7.5m,1.875m,0.533m,0.133m,7.5m,1.875m,0.533m,0.133m,a
"If an object is placed 5m away from a mirror it produces a virtual image.
 
 In the stem
  i. The mirror is concave 
 ii. If the object is placed in infinite distance, the distance of the image will be 7.5m
  iii. If the mirror is opposite type, the image will be real and magnified
  Which of the following is correct?","কোনো দর্পণ হতে 5 m দূরে বস্তু রাখলে 3 m দূরে অবাসতব বিম্ব পাওয়া যায়।
 
 উদ্দীপকের-
 i. দর্পণটি অবতল
 ii. বস্তুটি অসীমে থাকলে প্রতিবিম্বের দূরত্ব হবে 7.5 m
 iii. দর্পণটি বিপরীত প্রকৃতির হলে উক্ত ক্ষেত্রে বাস্তব ও বিবর্ধিত বিম্ব পাওয়া যায়
 নিচের কোনটি সঠিক?",ii,iii,I and ii,I and iii,ii,iii,I and ii,I and iii,a
What is the dimention of velocity?,বেগের মাত্রা কোনটি?,LT^{-2},L^{-1}T,L^{-1}T^{2},LT^{-1},LT^{-2},L^{-1}T,L^{-1}T^{2},LT^{-1},d
"A passenger of a running bus is- 
 i. in rest relative to the bus 
 ii. in rest relative to a lamp pod 
 iii. in rest relative to the other passengers 
 Which of the following is right?","চলন্ত একটি বাসের ভিতরের যাত্রী-
 i. বাসের সাপেক্ষে স্থির
 ii. ল্যাম্প পোস্টের সাপেক্ষে স্থির
 iii. বাসের অন্য যাত্রীর সাপেক্ষে স্থির
 নিচের কোনটি সঠিক?",i,I and iii,ii and iii,"I,ii and iii",i,i ও iii,ii ও iii,"i, ii ও iii",b
How a green flower is viewed in red light?,লাল বর্ণের আলোতে সবুজ ফুল কেমন দেখায়?,Black,Yellow,Red,Colorless,কালো,হলুদ,লাল,বর্ণহীন,a
