English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which of the following is irrational number?,নিচের কোন সংখ্যাটি অমূলদ?,\frac{\sqrt[3]{64}}{\sqrt{36}},\frac{\sqrt[3]{8}}{\sqrt[3]{27}},\sqrt{\frac{81}{625}},\frac{\sqrt[3]{8}}{\sqrt{7}},\frac{\sqrt[3]{64}}{\sqrt{36}},\frac{\sqrt[3]{8}}{\sqrt[3]{27}},\sqrt{\frac{81}{625}},\frac{\sqrt[3]{8}}{\sqrt{7}},d
"If f(x) = x^{3} - x - 24, then what values of x, f(x) = 0?",f(x) = x^{3} - x - 24 হলে x এর কোন মানে জ্ন্য হবে?,2,3,4,6,2,3,4,6,b
What is called the angle of which greater than two right angle but less than four right angle?,দুই সমকোণ অপেক্ষা বড় কিন্তু চার সমকোণ অপেক্ষা ছোট কোণকে কী বলে?,Obtuse angle,Supplementary angle,Complementary angle,Reflex angle,স্থূলকোণ,সম্পূরক কোণ,পূরক কোণ,প্রবৃদ্ধ কোণ,d
"If A = \{1, 2, 3, 4\}, then how many proper subsets of the set A?","A={1,2,3,4} হলে সেট A এর প্রকৃত উপসেট কয়টি?",4,14,15,16,4,14,15,16,c
"If x + y = 2, xy = 1, then what is the value of (x - y)^{2}?","x + y = 2, xy = 1 হলে (x - y)^{2} এর মান কত?",0,2,6,8,0,2,6,8,a
"If \sin \theta = \frac{1}{2}, then what is the value of \tan \theta?","\sin \theta = \frac{1}{2} হলে, \tan \theta এর মান কত?",\frac{1}{\sqrt{3}},\frac{\sqrt{3}}{2},\sqrt{3},2,\frac{1}{\sqrt{3}},\frac{\sqrt{3}}{2},\sqrt{3},2,a
"If the area of a rectangle is 35 sq. cm whose length is x cm and breadth is (x - 2) cm, then what is the value of x?",35 বর্গ সে.মি ক্ষেত্রফল বিশিষ্ট একটি আয়তক্ষেত্রর দৈর্ঘ্য x সে.মি এবং প্রস্থ (x-2) সে.মি. হলে x এর মান কত?,7,5,-5,-7,7,5,-5,-7,a
"If the area of the whole surface of a cube is 96 m^{2}, then what is its diagonal of the surface?",একটি ঘনকের সম্পূর্ণ পৃষ্ঠের ক্ষেত্রফল 96 বর্গমিটার। এর পৃষ্ঠতলে কর্ণের দৈর্ঘ্য কত মিটার?,16\sqrt{3},16\sqrt{2},4\sqrt{3},4\sqrt{2},16\sqrt{3},16\sqrt{2},4\sqrt{3},4\sqrt{2},d
"In a series 6 + 10 + 14 + .....
i. common difference is 4
ii. 20th term is 82
iii. sum of 1st 10 terms is 20
Which one is correct?","6+10+14+…… ধারার- 
 i. সাধারণ অন্তর 4
 ii. 20 তম পদ 82
 iii. প্রথম 10টি পদের সমষ্টি 240
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"If f(x) = x^{3} - 4x + 3, then what is then value of f(-1)?","f(x) = x^{3} - 4x + 3 হলে, f(-1) এর মান কত?",-2,0,6,8,-2,0,6,8,c
"Two circles touches each other at internally. If one of its diameter is 10 cm and radius of other circle i 4 cm, then what is the distance between the two centres of them?","দুইটি বৃত্ত পরস্পরকে অন্তঃস্পর্শ করে। এদের ব্যাস 10 সে.মি এর অপরটির ব্যসার্ধ 4 সে.মি হলে, এদের কেন্দ্রদ্বয়ের মর্ধবর্তী দূরত্ব কত সে.মি.?",1,4,5,9,1,4,5,9,a
