English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"Which orbital of the following is unable to obey""Hund's rule""?",নিচের কোন অরবিটাল হুন্ডের নীতি প্রদর্শনে অক্ষম?,s,p,d,f,s,p,d,f,a
"Which scientist proved that the nucleus of an atom is of positive 
charged?",”পরমাণুর নিউক্লিয়াস ধনাত্মক আধানযুক্ত”- কোন বিজ্ঞানী প্রমাণ করেন?,Rutherford,Bohr,De-Broglie,J.J.Thomson,রাদারফোর্ড,বোর,ডি-ব্রগলি,জে. জে. থমসন,a
"Which one of the following is the solubility product of calcium 
phosphate?",ক্যালসিয়াম ফসফেটের দ্রাব্যতা গুণফল কোনটি?,27s^{3},s^{5},27s^{5},108s^{5},27S^{3},S^{5},27S^{5},108S^{5},d
Which one of the following elements has least ionization potential?,নিচের কোন মৌলটির প্রথম আয়নিকরণ শক্তি সর্বনিম্ন?,Rb,K,Na,Li,Rb,K,Na,Li,a
What is the (n+1) value of 4f orbital?,4f অরবিটালের (n+l) এর মান কত?,4,6,7,11,4,6,7,11,c
Which one of the following is the most strongest bond?,নিচের কোন বন্ধনটি সবচেয়ে বেশি শক্তিশালী?,Pi-bond,Sigma-bond,Hydrogen bond,"Vabder-Waal's
forces",পাই-বন্ধন,সিগমা-বন্ধন,হাইড্রোজেন-বন্ধন,ভ্যানডার-ওয়ালস বল,b
"Which one of the following is related to the mechanism of buffer
solution?",বাফার দ্রবণের কৌশলের সাথে সম্পর্কিত নিচের কোনটি?,"Le-Chatelier
 principle",Arrhenius -equation,"Ostwald-dilution
principle",Fajan's rule,লা-শাতেলিয়ার নীতি,আরহেনিয়াস সমীকরণ,অসওয়াল্ড লঘুকরণ নীতি,ফাজানের নীতি,a
What is the value of pKw of water at 25^{\circ}C,25^{\circ}C তাপমাত্রায় পানির pK_{w} এর মান কত?,7,10,12,14,7,10,12,14,d
Which one of the following is the correct order of electronegativity?,তড়িৎ ঋণাত্মকতার সঠিক ক্রম কোনটি?,I>Br>CI,F>O>CI,F>CI>O,N>I>Br,I > Br > Cl,F > O > Cl,F > Cl > O,N > I > Br,b
Which metal shows highest polarisation in the following compounds?,নিচের কোন যৌগে ধাতুর পোলারায়ন ক্ষমতা বেশি?,CsCI,RbCI,MgCI_{2},CaCI_{2},CsCl,RbCl,MgCl_{2},CaCl_{2},c
