English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"If the BMI of a man is 30−34 kg/m2 than,what is the level of obesity?",BMI= 30 - 34.9 kg/m^{2} হলে মানুষটি কোন শ্রেণির?,Over weight,Level 1 obesity,Level 2 obesity,Level 3 obesity,অতিরিক্ত ওজন,স্থূলতার ১ম স্তর,স্থূলতার ২য় স্তর,স্থূলতার ৩য় স্তর,b
What is the genotypic ratio of incomplete dominance?,অসম্পূর্ণ প্রকটতার ক্ষেত্রে জিনোটাইপিক অনুপাত কত?,3:1,9:7,1:2:1,13:3,৩:১,৯:৭,১:২:১,১৩:৩,c
"The functions of lymph are-
 transportation of lipid
 ii.protection of the body
 iii.improving the immune system
 Which one is correct?","লসিকার কাজ হচ্ছে- 
 i. লিপিড পরিবহন
 ii. দেহের প্রতিরক্ষা
 iii. রোগ প্রতিরোধ ক্ষমতা বৃদ্ধি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which one is called pacemaker?,কোনটিকে পেসমেকার বলা হয়?,Artio-ventricualr node,Pukinje fibre,Sino atrial node,Bundle of his,অ্যাট্রিও-ভেন্টিকুরার নোডকে,পার্কিনজি তন্তুকে,সাইনো-অ্যাট্রিয়াল নোডকে,বান্ডেল অব হিজ,c
"Among the offspring's of a normal couple,50% sons haemophilic whether 50% of sons and all daughters are normal.
 According to the stem genotype of the couple is-","একটি স্বাভাবিক দম্পতির সমস্ত সন্তান-সন্ততির ৫০% পুত্র হিমোফিলিক এবং ৫০% পুত্র ও কন্যারা স্বাভাবিক।
 
 উদ্দীপক অনুসারে দম্পতির জিনোটাইপ হলো-","\male _{x}B_{y}, \female _{x}B_{x}B","\male _{x}B_{y}, \female _{x}B_{x}b","\male _{x}B_{y}, \female _{x}b_{x}b","\male _{x}b_{y}, \female _{x}b_{x}b","\male _{x}B_{y}, \female _{x}B_{x}B","\male _{X}B_{Y}, \female _{X}B_{X}b","\male _{X}B_{Y}, \female _{X}b_{X}b","\male _{X}b_{Y}, \female _{X}b_{X}b",b
"Incase of'AB' blood group-
 i.both antigen present
 ii.both antibody absent
 iii.universal recipients
 Which one is correct?","AB রক্তের গ্রুপের ক্ষেত্রে প্রযোজ্য -
 i. উভয় অ্যান্টিজেন বিদ্যমান
 ii. উভয় অ্যান্টিবডি অনুপস্থিত
 iii. সার্বজনীন গ্রহীতা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
The causes of 9:7 ratio is-,৯:৭ অনুপাতের কারণ-,Lethalgene,Polygene,Intermediate gene,Duplicate recessive gene,মরণ জিন,পলিজিন,ইন্টারমিডিয়েট জিন,ডুপ্লিকেট প্রচ্ছন্ন জিন,d
Which Scientist introduced Tri-nominal nomenclature?,ত্রি-পদী নামের প্রবর্তক কোন বিজ্ঞানী?,Carolus Linnaeus,De Lamarck,Schlegel,Earnest Mayr,ক্যারোলাস লিনিয়াস,দ্য ল্যামার্ক,স্লিগেল,আর্নেস্ট মায়ার,c
What is maximum length In millimeter of hatchlings or Rui?,রুই মাছের রেণু পোনার দৈর্ঘ্য কত মিলিমিটার পর্যন্ত হয়?,7,15,20,30,7,15,20,30,a
"The part of proctodaeum are-
 i. gizzard
 ii.ileum
 iii.colon
 Which one is correct?","প্রোক্টোডিয়ামের অংশগুলো হলো-
 i. গিজার্ড
 ii. ইলিয়াম
 iii. কোলন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Which is correct one incase of complete metamorphosis?,সম্পূর্ণ রূপান্তরের ক্ষেত্রে নিচের কোনটি সঠিক?,Egg→Larva→Pupa→Imago,Egg→Pupa→Larva→Imago,Larva→Egg→Pupa→Imago,Imago→Egg→Pupa→Larva,ডিম \rightarrow লার্ভা \rightarrow পিউপা \rightarrow ইমাগো,ডিম \rightarrow পিউপা \rightarrow লার্ভা \rightarrow ইমাগো,লার্ভা \rightarrow ডিম \rightarrow পিউপা \rightarrow ইমাগো,ইমাগো \rightarrow ডিম \rightarrow পিউপা \rightarrow লার্ভা,a
In which the pneumatic duct of air bladder is connected with?,বায়ুথলির নিউম্যটিক নালি কোথায় যুক্ত থাকে?,To the Oesophagous,To the weberian ossicles of intermal ear,To the dorsal region of heart,To the ventral region of heart,অন্ননালির সাথে,অন্তঃকর্ণের ওয়েবেরিয়ান অস্থি কলের সাথে,হৃৎপিন্ডের পৃষ্ঠীয় অঞ্চলের সাথে,হৃৎপিন্ডের অঙ্কীয় অঞ্চলে,a
How many cervical in human body?,গ্রীবাদেশীয় কশেরুকা কয়টি?,4,5,7,12,4,5,7,12,c
Which features of classes are found in Archaepteryx?,Archaeopteryx এ কোন কোন শ্রেণির বৈশিষ্ট রয়েছে?,Mammalia and Aves,Reptilia and Amphibia,Reptilia and Aves,Mammalia and Reptalia,স্তন্যপায়ী ও পাখি,সেরাীসৃপ ও উভচর,সরীসৃপ ও পাখি,স্তন্যপায়ী ও সরীসৃপ,c
Which of the following class have 5-15 pairs in pharynaxial gill-slits?,কোন শ্রেণিতে ৫-১৫ জোড়া গলবিলীয় ফুলকা রন্ধ্র পাওয়া যায়?,myxini,petromyzontida,Chondrichthyes,Actinopterygii,Myxini,Petromyzontida,Chondrichlhyes,Actinopterygii,a
Which one is correct?,নিচের কোনটি সঠিক?,Spermatogonia→Spermatid→Spermatocyts→Sperm,Spermatid→Spermatocyts→Spermatogonis→Sperm,Oocyte→Oogonia→Ootid→Ovum,Oogonia→Oocyte→Ootid→Ovum,স্পার্মাটোগোনিয়া \rightarrow স্পার্মাটিড \rightarrow স্পার্মাটোসাইট \rightarrow শুক্রাণু,স্পার্মাটিড \rightarrow স্পার্মাটোসাইট \rightarrow স্পার্মাটোগোনিয়া \rightarrow শুক্রাণু,উওসাইট \rightarrow উওগোনিয়া \rightarrow উওটিড \rightarrow ডিম্বাণু,উওগোনিয়া \rightarrow উওসাইট \rightarrow উওটিড \rightarrow ডিম্বাণু,d
What is the probable rate of normal vision daughters if colour blind male and normal vision fermale (not crrier) got married?,বর্ণান্ধ পুরুষ ও স্বাভাবিক দৃষ্টির নারীর (বাহক নয় ) মধ্যে বিয়ে হলে তাদের স্বাভাবিক দৃষ্টির কন্যা সন্তানদের সম্ভাব্য হার কত?,100%,75%,50%,25%,100%,75%,50%,25%,a
Which one of the folloeing animals is acoelomate ?,নিম্নের কোন প্রাণিটি অ্যাসিলোমিট?,Round worm,Flat worm,Earth worm,Snail,গোলকৃমি,ফিতাকৃমি,কেঁচো,শামুক,b
Which part of Grasshopper's compound eye create image?,ঘাসফড়িংয়ের পুঞ্জাক্ষির কোন অংশটি প্রতিবিম্ব সৃষ্টি করে?,Rahabdom,Corneagen cell,Iris pigment sheath,Cornia,কর্নিয়াজেন কোষ,কর্নিয়াজেন কোষ,আইরিশ রঞ্জক আবরণী,কর্নিয়া,a
What type of circulation found in Rui fish?,রুই মাছের রক্ত সংবহন কোন ধরনের ?,Duuble circuit,Pulmonary,Single circuit,Portal,দ্বি চক্রী,পালমোনারি,এক চক্রীয়,পোর্টাল,c
What type of blood group can be received by man having blood group 'B'?,B ব্লাড গ্রুপের মানুষ কোন গ্রুপের রক্ত গ্রহণ করতে পারে?,AB' and 'O',B' and 'O',B' and 'AB',"A','AB' and 'O'",AB এবং O,B এবং O,B এবং AB,"A, AB, এবং O",b
Which is correct for second class lever?,২য় শ্রেণির লিভারের ক্ষেত্রে কোনটি সঠিক?,Force-Load-Falcrum,Falcrum-Force-Load,Load-Falcrum-Force,Load-Force-Falcrum,বল-ভার-ফালক্রাম,ফালক্রাম-বল-ভার,ভার-ফলক্রাম-বল,ভার-বল-ফারক্রাম,a
