English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which one is the protein factory of cell?,কোষের প্রোটিন ফ্যাক্টরী কোনটি?,Ribosome,Gollgi apparatus,Lysosome,Endoplasmic reticulum,রাইবোসোম,গলজিবস্তু,লাইসোসোম,এন্ডোপ্লাজমিক রেটিকুলাম,a
What is called the this layer surrounding cytoplasm of cell vacuole?,কোষগহবরের চারিদিকে সাইটোপ্লাজমের হালকা স্তরকে কী বলে?,Hyaloplasm,Ectoplasm,Endoplasm,Tonoplasm,হায়ালোপ্লাজম,এক্টোপ্লাজম,এন্ডোপ্লাজম,টনোপ্লাজম,d
Which English alphabetic shape sub-metacentric chromosome is formed in the anaphase stage of cell division?,সাব মেটাসেন্ট্রিক ক্রোমোসোম কোষ বিভাজনের অ্যানাফেজ দশায় ইংরেজি কোন অক্ষরের আকৃতি ধারণ করে?,I,J,L,V,T,J,L,V,c
"\fbox{DNA} \xrightarrow{A} \fbox{RNA} \xrightarrow{B} \fbox{Protein}
 What is called the process B mentioned in the stem?","\fbox{DNA} \xrightarrow{A} \fbox{RNA} \xrightarrow{B} \fbox{প্রোটিন}
 উদ্দীপকে উল্লিখিত 'B' প্রক্রিয়াটিকে কী বলে?",Transcription,Transplation,Transformation,Replication,ট্রান্সক্রিপশন,ট্রান্সলেশন,ট্রান্সফরমেশন,রেপ্লিকেশন,b
"\fbox{DNA} \xrightarrow{A} \fbox{RNA} \xrightarrow{B} \fbox{Protein}
 To complete the process A of the stem the necessary thing is-
 i. RNA Polymerase
 ii. Associate Lipid
 iii. DNA Tamplet
 Which one is correct?","\fbox{DNA} \xrightarrow{A} \fbox{RNA} \xrightarrow{B} \fbox{প্রোটিন}
 উদ্দীপকে 'A' প্রক্রিয়া সম্পন্ন করতে প্রয়োজন-
 i. RNA পরিমারেজ
 ii. সহযোগী লিপিড
 iii. DNA ছাঁচ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",b
What is called the interphase stage of first and second division of nucleus in Meiosis Process?,মিয়োসিস প্রক্রিয়ায় নিউক্লিয়াসের প্রথম ও দ্বিতীয় বিভক্তির মধ্যবর্তী সময়কে কী বলে?,Karyokinensis,Metakinensis,Interkinensis,Cytokinensis,ক্যারিওকাইনেসিস,মেটাকাইনেসিস,ইন্টারকাইনেসিস,সাইটোকাইনেসিস,c
Which part of the cycas plant is similar to hood?,Cycas উদ্ভিদের কোন অঙ্গটি সাপের ফণার ন্যায়?,Megasporophyll,Miero sporophyll,Strobillus,Coralloid root,মেগাস্পোরোফিল,মাইক্রোস্পোরোফিল,স্ট্রোবিলাস,কোরালয়েড মূল,a
Which one is a viral disease?,কোনটি ভাইরাসঘটিত রোগ?,Tuberculasis,Cholera,Hydrophobia,Tetanus,যক্ষ্মা,কলেরা,জলাতঙ্ক,ধনুষ্টংকার,c
"The characteristics of gymnosperm are-
 i. absence of companion cell in phloem tissue
 ii. all are heterosporic
 iii. endosperm deploid
 Which one is correct?","নগ্নবীজ উদ্ভিদের বৈশিষ্ট্য হলো-
 i. ফ্লোয়েম টিস্যুতে সঙ্গীকোষ অনুপস্থিত
 ii. সকলেই অসমরেণুপ্রসূ
 iii. সস্য-ডিপ্লয়েড
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",a
What is called the outer layer of root?,মূলের ত্বককে কী বলে?,Cortex,Edodermis,Epiblema,Pericycle,কার্টেক্স,এন্ডোডার্মিস,এপিব্লেমা,পেরিসাইকল,c
In which stage of life cycle of malarial parasite Schuffner's dots is seen?,ম্যালেরিয়া পরজীবীর জীবনচক্রের কোন দশায় সাফনার্স দানা দেখা যায়?,Merozoite,Signet ring,Schizont,Trophozoite,মেরোজয়েট,সিগনেট রিং,সাইজন্ট,অ্যামিবয়েড ট্রফোজয়েট,d
Whic plant is used in diabetes?,কোন উদ্ভিদটি ডায়াবেটিস রোগে ব্যবহৃত হয়?,Cotton,China flower,Paddy,Lady's finger,কার্পাস তুলা,জবা,ধান,ঢেঁড়স,d
"In case of active absorption of minerals. it is needed-
 i. metabolic energy
 ii. cytochrome carrier
 iii. anion and cation
 Which one is correct?","সক্রিয় খনিজ লবণ পরিশোষণের ক্ষেত্রে প্রয়োজন হয়-
 i. বিপাকীয় শক্তি
 ii. সাইটোক্রোম বাহক
 iii. অ্যানায়ন ও ক্যাটায়ন
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",d
What type of meristimatic tissue creates vascular bundle?,ভাস্কুলার বান্ডলের সৃষ্টি হয় কোন ধরনের ভাজক টিস্যু হতে?,Protoderm,Procambium,Ground meristem,Promeristem,প্রোটোডার্ম,প্রোক্যাম্বিয়াম,গ্রাউন্ড মেরিস্টেম,প্রোমেরিস্টেম,b
