English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which of the following gas has lowest mass of one ml at STP?,STP তে নিচের কোন গ্যাসের একক মি.লি. এর ভর কম?,N_{2},O_{2},CO_{2},NO_{2},N_{2},O_{2},CO_{2},NO_{2},a
"Applicable in case of S_{2}^{2} reactions-
i. occur in two steps
ii. order of reaction is two
iii. occur inversion of geometric structure
Which one is correct?","S_{N}2 বিক্রিয়ার ক্ষেত্রে প্রযোজ্য-
 i. দুই ধাপে ঘটে
 ii. বিক্রিয়ার ক্রম দুই
 iii. জ্যামিতিক গঠনের বিপরীতায়ন ঘটে
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",c
Which one is the optically active alcohol?,আলোক সক্রিয় অ্যালকোহল কোনটি?,2-methylbutane-1-of,2-methylbutane-2-of,2-methylpentane-3-of,2-methylpentane-2-of,2-মিথাইলবিউটান-1-অল,2-মিথাইলবিউটান-2-অল,2-মিথাইলপেন্টান-3-অল,2-মিথাইলপেন্টান-2-অল,a
Which one of the following is a secondary standard substance?,নিম্নের কোনটি সেকেন্ডারি স্ট্যান্ডার্ড পদার্থ?,KMnO_{4},K_{2}Cr_{2}O_{7},Na_{2}CO_{3},Na_{2}C_{2}O_{4} - 2H_{2}O,KMnO_{4},K_{2}Cr_{2}O_{7},Na_{2}CO_{3},Na_{2}C_{2}O_{4}.2H_{2}O,a
How many Hydrogen atoms exist in 1.8kg water?,1.8 kg পানিতে কতগুলো হাইড্রোজেন পরমাণু বিদ্যমান?,6.023 \times 10^{23},12.046 \times 10^{23},6.023 \times 10^{23},12.046 \times 10^{23},6.023 \times 10^{23} টি,12.046 \times 10^{23} টি,6.023 \times 10^{25} টি,12.046 \times 10^{25} টি,d
How many kinds are the reference electrode?,নির্দেশক তড়িৎদ্বার কত প্রকার?,One,Two,Three,Five,এক,দুই,তিন,পাঁচ,b
Amount of ethanol acid in pyroligneous acid-,পাইরোলিগনাস এসিডে ইথায়নিক এসিডের পরিমাণ-,0.1-0.5%,2-4%,8-10%,30-40%,0.1-0.5%,2-4%,8-10%,30-40%,c
Which of the two gases have equal diffusion rate?,কোন গ্যাসদ্বয়ের ব্যাপন হার সমান?,"C_{2}H_{6}, NO","CH_{2}, NH_{3}","NO, CO","CO_{2}, PH_{3}","C_{2}H_{6}, NO","CH_{4}, HN_{3}","NO, CO","CO_{2}, PH_{3}",a
"In reaction Br^{-} + BrO_{3}^{-} + 6H^{+} \rightarrow Br_{2} + 3H_{2}O
i. Br^{-} is a reducing agent
ii. reduction occurs of BrO_{3}^{-}
iii. H^{+} is an oxidizing agent
Which one is correct?","Br^{-} + BrO_{3}^{-} + 6H^{+} \rightarrow Br_{2} + 3H_{2}O; এ বিক্রিয়াটিতে-
 i. Br^{-} বিজারক
 ii. BrO_{3}^{-} এর বিজারণ ঘটেছে
 iii. H^{+} জারক
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",b
"Pt, H_{2}(g) (1 atm)/HCl(1M)\parallel AgNo_{3} (1M)/Ag(s)
At 25\degree C temperature, E\degree Ag/Ag^{-} = -0.80V
What is the emf of the cell of the stem?","Pt, H_{2}(g)(1atm)/HCl(1M) \parallel AgNO_{3}(1M)/Ag(s)
 25\degree C তাপমাত্রায়, E\degree _{Ag/Ag^{+}} = - 0.80V
 
 উদ্দীপকের কোষটির emf কত?",-0.80V,-0.40V,0.00V,0.80V,-0.80V,-0.40V,0.00V,0.80V,d
"In the cell of the stem-
i. has salt bridge
ii. oxidation potential of cathode is -0.80V
iii. anode is a primary reference electrode
Which one is correct?","Pt, H_{2}(g)(1atm)/HCl(1M) \parallel AgNO_{3}(1M)/Ag(s)
 25\degree C তাপমাত্রায়, E\degree _{Ag/Ag^{+}} = - 0.80V
 
 উদ্দীপকের কোষে-
 i. লবণ সেতু আছে
 ii. ক্যাথোডের বিজারণ বিভব +0.80V
 iii. অ্যানোড প্রাইমারি নির্দেশক তড়িৎদ্বার
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",d
Basis of dilution the concentration of solution is-,দ্রবণের ঘনমাত্রা লঘুকরণের মূলভিত্তি হলো-,mass of solute,volume of solvent,volume of solution,mole number of solute,দ্রবের ভর,দ্রাবকের আয়তন,দ্রবণের আয়তন,দ্রবের মোল সংখ্যা,c
Which one is used as a medicine of sleep?,ঘুমের ঔষধ হিসেবে ব্যবহৃত হয় কোনটি?,Formaldehyde,Acetaldehyde,Paraldehyde,Metaldehyde,ফরমালডিহাইড,অ্যাসিটালডিহাইড,প্যারালডিহাইড,মেটালডিহাইড,c
Which one is the weak acid?,কোনটি মৃদু এসিড?,HClO_{4},H_{2}SO_{4},HNO_{3},H_{2}CO_{3},HClO_{4},H_{2}SO_{4},HNO_{3},H_{2}CO_{3},d
Which one of the following group is meta directive?,নিম্নের কোনটি মেটা নির্দেশক মূলক?,-COCH_{3},-OCOCH_{3},-NHCOCH_{3},-OCH_{3},\text{- COCH_{3}},\text{- OCOCH_{3}},\text{-NHCOCH_{3}},\text{- OCH_{3}},a
"Phenolphthalein-
i. change colour in acid solution
ii. change colour in base solution
iii. use as a indicator for the titration of weak acid and strong base
Which one is correct?","ফেনফথ্যালিন-
 i. এসিড দ্রবণে বর্ণ পরিবর্তন করে
 ii. ক্ষার দ্রবণে বর্ণ পরিবর্তন করে
 iii. মৃদু এসিড ও তীব্র ক্ষারের টাইট্রেশনের জন্য নির্দেশক হিসেবে ব্যবহৃত হয়
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",c
How many gram silver will be deposited at cathode if 0.1F electricity was driven in AgNO_{3} solution?,AgNO_{3} দ্রবণে 0.1F তড়িৎ চালনা করলে ক্যাথোডে কত গ্রাম সিলভার জমা হবে?,108,10.8,1.08,0.108,108,10.8,1.08,0.108,b
Which one will charge free first in electrolysis?,তড়িৎ বিশ্লেষণে কোনটি আগে চার্জমুক্ত হবে?,Pl^{2+},Cu^{2+},Cd^{2+},Mn^{2+},Pt^{2+},Cu^{2+},Cd^{2+},Mn^{2+},a
What is the concentration of 10% methanol in molarity unit?,১০% মিথানলের ঘনমাত্রা মোলারিটি এককে কত?,3.225,3.53,4.43,5.61,3.125,3.51,4.43,5.61,a
Which of the following is oxidation reduction half-cell?,কোনটি জারণ বিজারণ অর্ধকোষ?,"Pl, Cl_{2}/Cl^{-}","Ag, AgCL_(s)/Cl^{-}","Na, Hg/Na^{+}","Pt, Fe^{2+}/Fe^{3+}","Pt, Cl_{2}/Cl^{-}","Ag, AgCl(s)/Cl^{-}","Na, Hg/Na^{+}","Pt, Fe^{2+}/Fe^{3+}",d
What is the DO range of pure water?,আদর্শ পানির DO পরিসীমা কত?,2-4 mg/L,4-8 mg/L,8-10 mg/L,10-12 mg/L,2-4 mg\L,4-8 mg\L,8-10 mg\L,10-12 mg\L,b
Which of the following is primary standard substance?,কোনটি প্রাইমারি স্ট্যান্ডার্ড পদার্থ?,H_{2}SO_{4},HCl,KMnO_{4},K_{2}Cr_{2}O_{2},H_{2}SO_{4},HCl,KMnO_{4},K_{2}Cr_{2}O_{7},d
What kind of reaction does occur in cathode during electrolysis?,তড়িৎ বিশ্লেষণ প্রক্রিয়ায় ক্যাথোডে কোন ধরনের বিক্রিয়া ঘটে?,Reduction,Oxidation,Redox,Elimination,বিজারণ,জারণ,জারণ-বিজারণ,অপসারণ বিক্রিয়া,a
At which temperature kinetic energy of a molecule will be zero?,কোন তাপমাত্রায় একটি অণুর গতিশক্তি শূন্য হবে?,0\degree C,273\degree C,OK,298K,o\degree C,273\degree C,0K,298K,c
Which of the following compound shows optical isomerism?,নিচের কোণ যৌগটি আলোক সমাণুতা প্রদর্শন করে?,C_{4}H_{10},C_{7}H_{16},C_{6}H_{14},C_{5}H_{12},C_{4}H_{10},C_{7}H_{16},C_{6}H_{14},C_{5}H_{12},b
What is the concentration of 0.15M HCl solution in ppm unit?,0.15M HCl দ্রবণের ঘনমাত্রা ppm এককে কত?,3.65,1500,3650,5475,3.65,1500,3650,5475,d
Which of the following ion can be easily charge-free?,কোন আয়নটি সহজে চার্জমুক্ত হবে?,Cu^{2+},H^{+},Au^{3+},Ag^{+},Cu^{2+},H^{+},Au^{3+},Ag^{+},c
"2H_{2}O(l) + HCl(ag) \rightleftharpoons H_{3}O^{+} + B
What is the formula of B?","2H_{2}O(l) + HCl(aq) \rightleftharpoons H_{3}O^{+} + B
 
 B এর সংকেত কোনটি?",Cl^{-},Cl,Cl^{+},Cl_{2},Cl^{-},Cl,Cl^{+},Cl_{2},a
"2H_{2}O(l) + HCl(ag) \rightleftharpoons H_{3}O^{+} + B
H_{3}O^{+} of the stem is-
i. conjugated acid
ii. conjugated base of H_{2}O
iii. able to donate proton
Which of the following is correct?","2H_{2}O(l) + HCl(aq) \rightleftharpoons H_{3}O^{+} + B
 
 উদ্দীপকের H_{3}O^{+} হলো-
 i. অনুবন্ধী অম্ল
 ii. H_{2}O এর অনুবন্ধী ক্ষারক
 iii. এটি প্রোটন প্রদানে সক্ষম
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the density (g/L) of CO_{2} gas at 100\degree C temperature and 1.0526 atm pressure?,100\degree C তাপমাত্রায় ও 1.0526 atm চাপে CO_{2} গ্যাসের ঘনত্ব (g\L) কত?,0.00291,0.0149,1.512,1.49 \times 10^{22},0.00291,0.0149,1.512,1.49 \times 10^{22},c
Which of the following is electrophile?,নিচের কোনটি ইলেকট্রোফাইল?,SO_{3},NH_{3},RMgX,H_{2}O,SO_{3},NH_{3},RMgX,H_{2}O,a
What is the oxidation no. of Carbon in CH_{2}Cl_{2}?,CH_{2}Cl_{2} যৌগ C প্রমাণুর জারণ সংখ্যা কত?,\text+ 4,\text+ 2,-2,0,\text{+4},\text{+2},\text{-2},0,d
