English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the main basis of periodic table?,পর্যায় সারণির মূল ভিত্তি কী?,Electron number,Electron configuration,Atomic Number,Atomic mass Number,ইলেকট্রন সংখ্যা,ইলেকট্রন বিন্যাস,পারমাণবিক সংখ্যা,পারমাণবিক ভরসংখ্যা,b
Which group has less number of elements?,কোন গ্রুপে মৌলের সংখ্যা কম?,12,13,14,15,12,13,14,15,a
"Sn+Cl_{2}\rightarrow SnCl_{2}
In this reaction-
i. Sn is oxidized 
ii. Cl_{2} is reduced
iii. metalic element is transition element
Which one is correct?","Sn + Cl_{2} \rightarrow SnCl_{2} ; বিক্রিয়াটিতে-
 i. Sn জারিত হয়েছে
 ii. Cl_{2} বিজারিত হয়েছে
 iii. ধাতব মৌলটি অবস্থান্তর মৌল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii, and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the angular momentum of last shell electron in ^{19}Q?,_{19}\text{Q} এর শেষ ইলেকট্রনের কৌণিক ভরবেগ কত?,\frac{nh}{\pi},\frac{2h}{\pi},\frac{2\pi}{h},\frac{h}{\pi},\frac{nh}{\pi},\frac{2h}{\pi},\frac{2\pi}{h},\frac{h}{\pi},b
"In case of Ca and Zn-
i. same valency
ii same group
iii. same period
Which one is correct?","Ca ও Zn এর ক্ষেত্রে-
 i. যোজনী একই
 ii. গ্রুপ একই
 iii. পর্যায় একই
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii, and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is exothermic reaction?,কোনটি তাপ উৎপাদী বিক্রিয়া?,SO_{2}(g)\rightarrow S(s)+O_{2}(g),H_{2}O(g)\rightarrow H_{2}(g)+O_{2}(g),N_{2}(g)+H_{2}(g)\rightarrow NO(g),N_{2}(g)+H_{2}(g)\rightarrow NH_{3}(g),SO_{2}(g) \rightarrow S(s) + O_{2}(g),H_{2}O(g) \rightarrow H_{2}(g) + O_{2}(g),N_{2}(g) + O_{2}(g) \rightarrow NO(g),N_{2}(g) + H_{2}(g) \rightarrow NH_{3}(g),d
Which one is the symbol of Tin?,টিনের প্রতীক কোনটি?,Ag,Au,Sb,Sn,Ag,Au,Sb,Sn,d
In which orbital electron will enter first?,কোন অরবিটালে ইলেকট্রন আগে প্রবেশ করবে?,4d,4f,5s,5p,4d,4f,5s,5p,c
"In case of \frac{9}{4}X -
i. Proton number 4
ii. Neutron number 5
iii. Mass number 9
Which one is correct?","_{4}^{9}\text{X} এর ক্ষেত্রে-
 i. প্রোটোন সংখ্যা 4
 ii. নিউট্রন সংখ্যা 5
 iii. ভরসংখ্যা 9
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii, and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which element is small in size?,কোন মৌলের আকার ছোট?,Si,Al,O,C,Si,Al,O,C,c
What is latent valency of sulphur in sulphur dioxide?,সালফার ডাই-অক্সাইড যৌগে সালফারের সুপ্ত যোজনী কত?,0,2,4,6,0,2,4,6,b
"Same empirical formula containing compounds are-
i. C_{2}H_{4}
ii. C_{3}H_{6}
iii. C_{4}H_{8}
Which one is correct?","একই স্থূল সংকেতবিশিষ্ট যৌগ হলো-
 i. C_{2}H_{4}
 ii. C_{3}H_{6}
 iii. C_{4}H_{8}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii, and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which is generated inside for occurring acidity in the stomach?,পাকস্থলীতে কোনটি জমা হলে পেটে এসিডিটির সমস্যা হয়?,Excess sulphuric acid,Excess hydrochloric acid,Excess aluminium hydroxide,Excess magnesium hydroxide,অতিরিক্ত সালফিউরিক এসিড,অতিরিক্ত হাইড্রোক্লোরিক এসিড,অতিরিক্ত অ্যালুমিনিয়াম হাইড্রোক্সাইড,অতিরিক্ত ম্যাগনেসিয়াম হাইড্রোক্সাইড,b
Which one has hydrocarbon as main ingredient?,কোনটির মূল উপদান হাইড্রোকার্বন?,Kerosene,Formalin,Vinegar,Methylated sprit,কেরোসিন,ফরমালিন,ভিনেগার,মেথিলেটেড স্পিরিট,a
By which process plants produce glucose?,উদ্ভিদ কোন প্রক্রিয়ায় গ্লুকোজ তৈরি করে?,Combustion,Respiration,Hydrolysis,Photosynthesis,দহন,শ্বসন,পানি বিশ্লেষণ,সালোক-সংশ্লেষণ,d
Which one is flammable substance?,কোনটি দাহ্য পদার্থ?,Ether,TNT,Benzene,Toluene,ইথার,টি.এন.টি,বেনজিন,টলুইন,a
Which substance is converted directly to the vapour if heat is given?,কোন পদার্থে তাপ দিলে সরাসরি বাষ্পে পরিণত হয়?,F_{2},Cl_{2},Br_{2},I_{2},F_{2},Cl_{2},Br_{2},I_{2},d
Which one has lower diffusion rate?,কোনটির ব্যাপনের হার কম?,CH_{4},NH_{3},H_{2}S,HCl,CH_{4},NH_{2},H_{2}S,HCl,d
What is the oxidation number of 'Cl' in HClO_{4}?,HClO_{4} যৌগে Cl এর মান জারণ কত?,-2,+ 1,+ 7,+ 8,-2,1,7 + 7,8,c
Which is the monomer of PVC?,PVC এর মনোমার কোনটি?,ClHC = CHCl,H2C = CCl_{2},H_{2}C = CHCl,ClHC = CCl_{2},ClHC = CHCl,H_{2}C = CCl_{2},H_{2}C = CHCl,ClCH = CCl_{2},c
