English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"A spring is expanded 10cm by appling 500N force on the spring. If a body of 20kg mass is hung at the lower end of the spring, then what is the potential energy of the spring?",একটি স্প্রিং-এ 500 N বল প্রয়োগ করায় স্প্রিংটি 10 cm প্রসারিত হয়। স্প্রিংটিতে 20 kg ভরের একটি বোঝা খাড়া নিচের দিকে ঝুলিয়ে দেওয়া হলে স্প্রিংটির স্থিতি শক্তি কত?,0.04J,1.90J,3.80J,98J,0.04 J,1.90 J,3.80 J,98 J,c
Which one is the angular velocity of the national memorial due to rotation of the earth on its own axis?,পৃথিবীর নিজ অক্ষের ঘূর্ণনের জন্য জাতীয় স্মৃতিসৌধের কৌণিক বেগ কত?,7.27 \times 10^{5} rads^{-1},0.2618 rads^{-1},1.818 \times 10^{-4} rads^{-1},7.27 \times 10^{-5} rads^{-1},7.27\times 10^{5}rads^{-1},0.2618 rads^{-1},1.818\times 10^{-4}rads^{-1},7.27\times 10^{-5}rads^{-1},d
"The maximum velocity and maximum acceleration of a particle at simple harmonic motion are 15 cms^{-1} and 30cms^{-2} respectively.
  
 What is the time period of the particle of the above stem?","সরল ছন্দিত গতিতে দোলনরত একটি কণার সর্বোচ্চ ত্বরণের মান যথাক্রমে 15 cms^{-1} ও 30 cms^{-2}।
উদ্দীপকের কণাটির পর্যায়কাল কত?",0.785s,1.57s,3.14s,6.28s,0.785 s,1.57 s,3.14 s,6.28 s,c
"The maximum velocity and maximum acceleration of a particle at simple harmonic motion are 15 cms^{-1} and 30cms^{-2} respectively.
 
 Oscillating particle of the above stem-
 i. the amplitude is 7.5 cm 
 ii. kinetic energy at maxium amplitude is zero 
 iii. potential energy at equilibrium is highest
 Which one is correct?","সরল ছন্দিত গতিতে দোলনরত একটি কণার সর্বোচ্চ ত্বরণের মান যথাক্রমে 15 cms^{-1} ও 30 cms^{-2}।
উদ্দীপকের দোলনরত কণার-
i. বিস্তার 7.5 cm
ii. সর্বোচ্চ বিস্তারে গতিশক্তি শূণ্য
iii. সাম্যাবস্থানে বিভবশক্তি সর্বোচ্চ
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Vector \frac{\hat{i} - \hat{j} + \hat{k}}{\sqrt{3}} is s-,\frac{\hat{i}-\hat{j}+\hat{k}}{\sqrt{3}} ভেক্টর একটি-,null vector,co-linear vector,coplaner vector,unit vector,নাল ভেক্টর,সমরেখ ভেক্টর,সমতলীয় ভেক্টর,একক ভেক্টর,d
"Nm is th e unit of - 
 i. angular momentum 
 ii. Work done 
 iii. Moment of force
 Which one is correct?","Nm একক হয়-
i. কৌণিক ভরবেগের
ii. কাজের
iii. বলের ভ্রামকের
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
When two diagonals of a parallelogram are indicated by the vectors \vec{A} and \vec{B} Then Vhich one will be the area of the parallelogram?,\vec{A} ও \vec{B} ভেক্টর দ্বারা একটি সামান্তরিকের কর্ণদ্বয় নির্দিষ্ট হলে সামান্তরিকের ক্ষেত্রফল কোনটি হবে?,\vec{A} . \vec{B},\frac{1}{2} |\vec{A} \times \vec{B}|,\frac{1}{2} |\vec{A} . \vec{B}|,|\vec{A} \times \vec{B}|,\vec{A}.\vec{B},\frac{1}{2}\left | \vec{A}\times \vec{B} \right |,\frac{1}{2}\left | \vec{A}. \vec{B} \right |,\left | \vec{A}\times \vec{B} \right |,b
If angle between the two vectors \vec{P} and \vec{Q} is 120\degree then th e resultant of them-,\vec{P} ও \vec{Q} দুটি ভেক্টর রাশির মধ্যবর্তী কোণ 120^{\circ} হলে তাদের লব্ধির মান-,P + Q,\sqrt{P^{2} + Q^{2} + PQ},P - Q,\sqrt{P^{2} + Q^{2} - PQ},P + Q,\sqrt{P^{2}+Q^{2}+PQ},P - Q,\sqrt{P^{2}+Q^{2}-PQ},d
Which one of the following equation is correct?,নিচের কোন সমীকরণটি সঠিক?,\vec{tau} = \vec{F} \times \vec{r},\vec{tau} = \vec{P} \times \vec{r},\vec{tau} = \vec{r} \times \vec{F},\vec{tau} = \vec{r} \times \vec{P},\vec{\tau}=\vec{F}\times \vec{r},\vec{\tau}=\vec{P}\times \vec{r},\vec{\tau}=\vec{r}\times \vec{F},\vec{\tau}=\vec{r}\times \vec{P},c
If the mass and velocityof bullet of a gun are doubled then how many time will the kinetic energy be-,একটি বন্দুকের গুলির ভর ও বেগ যদি দ্বিগুণ করা হয় তাহলে গতিশক্তি কত গুণ হবে?,2 times,4 times,8 times,16 times,2 গুণ,4 গুণ,8 গুণ,16 গুণ,c
