English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which is the suitable temperature for photosynthesis?,সালোকসংশ্লেষণের জন্য উপযুক্ত তাপমাত্রা কোনটি?,12\degree C - 25\degree C,17\degree C - 30\degree C,22\degree C - 35\degree C,27\degree C - 40\degree C,12\degree C - 25\degree C,17\degree C - 30\degree C,22\degree C - 35\degree C,27\degree C - 40\degree C,c
Where is the solar energy stored as the potential energy?,কোনটিতে সৌরশক্তি স্থিতি শক্তিরূপে সঞ্চিত থাকে?,Oxygen,Water,Carbon-dioxide,Carbohydrate,অক্সিজেন,পানি,কার্বন ডাই অক্সাইড,শ্বেতসার,d
"Mr. Rahim's youngest daughter Tania is 20 years old, height 1.5 meter and weigh 60 kg. On the other hand, his eldest son Rashed is 25 years old, height 1.62 meter and weight 65 kg. He is light working and plays 2-3 days a week.
What is the BMR of Tania?","রহিম সাহেবের ছোট মেয়ে তানিয়ার বয়স ২০ বছর, উচ্চতা ১.৫ মিটার এবং ওজন ৬০ কেজি, অন্যদিকে, তার বড় ছেলে রাশেদের বয়স ২৫ বছর, উচ্চতা ১.৬২ মিটার এবং ওজন ৬৫ কেজি। সে হালকা পরিশ্রমী এবং সপ্তাহে ২-৩ দিন খেলাধুলা করে।
 
 তানিয়ার BMR কত?",1801.5 calorie,1705.0 calorie,1595.0 calorie,1407.0 calorie,1801.5 ক্যালরি,১৭০৫.০ ক্যালরি,১৫৯৫.০ ক্যালরি,১৪০৭.০ ক্যালরি,d
"Rashed's-
i. BMR 1596.5 calorie
ii. BMI 24.77
iii. needs 3033.35 calories daily
Which one is correcty?","রহিম সাহেবের ছোট মেয়ে তানিয়ার বয়স ২০ বছর, উচ্চতা ১.৫ মিটার এবং ওজন ৬০ কেজি, অন্যদিকে, তার বড় ছেলে রাশেদের বয়স ২৫ বছর, উচ্চতা ১.৬২ মিটার এবং ওজন ৬৫ কেজি। সে হালকা পরিশ্রমী এবং সপ্তাহে ২-৩ দিন খেলাধুলা করে।
 
 রাশেদের-
 i. BMR ১৫৯৬.৫ ক্যালরি
 ii. BMI ২৪.৭৭
 iii. দৈনিক ৩০৩৩.৩৫ ক্যালরি প্রয়োজন
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
How many macro-nutrients are needed for normal growth of plants?,উদ্ভিদের স্বাভাবিক বৃদ্ধির জন্য কতটি ম্যাক্রোনিউট্রিয়েন্ট প্রয়োজন?,6,10,16,20,6,10,16,20,b
Which food could be directly absorbed hy human body?,কোন খাদ্যটি মানবদেহে সরাসরি শোষণ করতে পারে?,Milk,Sugar,Honey,Rice,দুধ,চিনি,মধু,ভাত,c
Which is called necessary evil?,কোনটিকে 'প্রয়োজনীয় অমঙ্গল' বলা হয়?,Imbibition,Diffusion,Osmosis,Transpiration,ইমবাইশিন,ব্যাপন,অভিস্রবণ,প্রস্বেদন,d
What kind of patients can have a heart attack without any symptoms?,কোন ধরণের রোগীদের কোনো লক্ষণ ছাড়াই হার্ট অ্যাটাক হতে পারে?,Leukemia,Diabetes,Thalassemia,AIDS,লিউকেমিয়া,ডায়াবেটিস,থ্যালাসেমিয়া,এইডস,b
Which organ of the children can be affected by tonsil and scabies?,শিশুদের টনসিল এবং খোসপাঁচড়া থেকে কোনটি রোগাক্রান্ত হতে পারে?,Kidney,Liver,Lung,Tongue,বৃক্ক,যকৃত,ফুসফুস,জিহ্বা,a
