English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
The ratio of amplitude of two co-herent source is 3 : 2. What is the ratio of intensity of two waves?,দুটি সুসংগত উৎসের বিস্তারের অনুপাত 3 : 2 । তরঙ্গ দুটির তীব্রতার অনুপাত কোনটি?,9 : 4,4 : 9,25 : 1,1 : 25,9 : 4,4 : 9,25 : 1,1 : 25,a
The maximum magnitude of electric field of an electromagnetic wave is 54Vm^{-1}. What is the maximum magnitude of magnetic field?,একটি তড়িৎচুম্বকীয় তরঙ্গের তড়িৎ ক্ষেত্রের সর্বোচ্চ মান 54 Vm^{-1} হলে চৌম্বকক্ষেত্রের সর্বোচ্চ মান কত?,1.62 \times 10^{10}_{1} Wbm^{-2},1.8 \times 10^{7} Wbm^{-2},1.8 \times 10^{-7} Wbm^{-2},1.62 \times 10^{-10} Wbm^{-2},1.62 \times 10^{10}_{1} Wbm^{-2},1.8 \times 10^{7} Wbm^{-2},1.8 \times 10^{-7} Wbm^{-2},1.62 \times 10^{-10} Wbm^{-2},c
"A carnot engine when remain at 72\degree C sink temperature then its efficiency is 40%.
 
 What is the source temperature of the engine according to the stem?","একটি কার্নো ইঞ্জিন যখন 72\degree C তাপমাত্রায় তাপগ্রাহকে থাকে তখন কর্মদক্ষতা 40%।
 
 উদ্দীপক অনুসারে ইঞ্জিনের উৎসের তাপমাত্রা কত?",138 K,207 K,575 K,863 K,138 K,207 K,575 K,863 K,c
"A carnot engine when remain at 72\degree C sink temperature then its efficiency is 40%.
 
 Keeping sink temperature constant in order to make the efficiency of the engine 60%-
 i. the changed temperature of the source will be 862.5K
 ii. source temperature increases by 287.5K
 iii. source temperature decreased by 287.5K
 Which one is correct?","একটি কার্নো ইঞ্জিন যখন 72\degree C তাপমাত্রায় তাপগ্রাহকে থাকে তখন কর্মদক্ষতা 40%।
 
 গ্রাহকের তাপমাত্রা স্থির রেখে ইঞ্জিনটিকে 60% দক্ষ করতে হলে-
 i. উৎসের পরিবর্তিত তাপমাত্রা হবে 862.5 K
 ii. উৎসের তাপমত্রা বৃদ্ধি পাবে 287.5 K
 iii. উৎসের তাপমাত্রা হ্রাস পাবে 287.5 K
 নিচের কোনটি সঠিক?",i,iii,i & ii,i & iii,i,iii,i ও ii,i ও iii,c
"The phase difference between two points of an electromagnetic waves-
 i. depends on distance between two points
 ii. depends on wave length
 iii. does not depend on wave amplitude
 Which one is correct?","একটি তড়িৎ চুম্বকীয় তরঙ্গের উপর অবস্থিত যেকোনো দুটি নির্দিষ্ট বিন্দুর দশা পার্থক্য-
 i. বিন্দুর দুটির মধ্যবর্তী দূরত্বের উপর নির্ভর করে
 ii. তরঙ্গ দৈর্ঘ্যের উপর নির্ভর করে
 iii. তরঙ্গের বিস্তারের উপর নির্ভর করে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one of the following has the highest frequency?,নিচের কোনটির কম্পাঙ্ক সবচেয়ে বেশি?,Radio Wave,Micro wave,Infrared ray,Ultraviolet ray,বেতার তরঙ্গ,মাইক্রোতরঙ্গ,অবলোহিত রশ্মি,অতিবেগুনী রশ্মি,d
"In a transistor \alpha = 0.85, what is the value of \beta ?",একটি ট্রানজিস্টরের ক্ষেত্রে \alpha = 0.85 হলে \beta এর মান কত?,5.67,2.17,0.46,0.18,5.67,2.17,0.46,0.18,a
How does semiconductor act due to increase of temperature?,তাপমাত্রা বৃদ্ধিতে অর্ধপরিবাহক কিসের ন্যায় আচরণ করে?,Super conductor,Conductor,Semiconductor,Insulator,অতিপরিবাহী,পরিবাহক,অর্ধ পরিবাহক,অন্তরক,b
Which set of the following is semiconductor?,নিচের কোনগুলো অর্ধপরিবাহক?,"Si, As, C","Ge, C, Al","Ge, Si, Al","Ge, Si, C","Si, As, C","Ge, C, Al","Ge, Si, Al","Ge, Si, C",d
According to theory of relativity due to motion-,আপেক্ষিক তত্ত্ব অনুসারে গতিশীলতার দরুন-,length contracts,mass decreases,length increases,time contracts,দৈর্ঘ্য হ্রাস পায়,ভর হ্রাস পায়,দৈর্ঘ্য বৃদ্ধি পায়,সময় সংকুচিত হয়,a
