English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the value of \int_{0}^{1} \frac{sin^{-1}p}{\sqrt{1-p^{2}}}dp ?,\int_{0}^{1} \frac{sin^{-1}p}{\sqrt{1-p^{2}}}dp এর মান কত?,\frac{\pi}{2},\frac{\pi^{2}}{2},\frac{\pi^{2}}{4},\frac{\pi^{2}}{8},\frac{\pi}{2},\frac{\pi^{2}}{2},\frac{\pi^{2}}{4},\frac{\pi^{2}}{8},d
"The equation of a curve is y = 3x (x - 2).
 
 Which one of the following is the equation of tangent at origin?","y = 3x (x - 2) একটি বক্ররেখার সমীকরণ।
 
 মূলবিন্দুতে স্পর্শকের সমীকরণ কোনটি?",y + 6x = 0,y - 6x = 0,x + 6y = 0,x - 6y = 0,y + 6x = 0,y - 6x = 0,x + 6y = 0,x - 6y = 0,a
What is the value of \int e^{x} \left ( \frac{1}{x} - \frac{1}{x^{2}} \right ) dx ?,\int e^{x} \left ( \frac{1}{x} - \frac{1}{x^{2}} \right ) dx এর মান কত?,- \frac{e^x}{x} + c,- \frac{e^x}{x^2} + c,\frac{e^x}{x} + c,\frac{e^x}{x^2} + c,- \frac{e^x}{x} + c,- \frac{e^x}{x^2} + c,\frac{e^x}{x} + c,\frac{e^x}{x^2} + c,c
The value of \int_{1}{\sqrt{3}} \frac{x}{1 + x^2} dx is-,\int_{1}{\sqrt{3}} \frac{x}{1 + x^2} dx এর মান-,ln2,ln\frac{1}{2},\frac{1}{2}ln\frac{1}{2},\frac{1}{2}ln2,ln2,ln\frac{1}{2},\frac{1}{2}ln\frac{1}{2},\frac{1}{2}ln2,d
"If f(x) = 2x then-
 i. \int \frac{dx}{f(x)} = \frac{1}{2} lnx + c
 ii. \int e^{f(x)}dx = \frac{1}{2} e^{2x} + c
 iii. \int_{0}^{1} f(x) dx = 1
 Which one is correct?","f(x) = 2x হলে-
 i. \int \frac{dx}{f(x)} = \frac{1}{2} lnx + c
 ii. \int e^{f(x)}dx = \frac{1}{2} e^{2x} + c
 iii. \int_{0}^{1} f(x) dx = 1
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",d
Which one is the perpendicular distance between the lines 4x - 3y + 8 = 0 and 8x - 6y + 4 = 0?,4x - 3y + 8 = 0 এবং 8x - 6y + 4 = 0ন রেখাদ্বয়ের মধ্যবর্তী লম্ব দূরত্ব নিম্নের কোনটি?,\frac{2}{5},\frac{4}{5},\frac{6}{5},\frac{3}{5},\frac{2}{5},\frac{4}{5},\frac{6}{5},\frac{3}{5},c
"The order of the matrix A, B and C are 4 \times 3, 3 \times 4 and 7 \times 4 respectively. Then what is the order of matrix (B + A^{T}).C^{T}?","A, B এবং C ম্যাট্রিক্সগুলোর মাত্রা যথাক্রমে 4 \times 3, 3 \times 4 এবং 7 \times 4 হলে (B + A^{T}).C^{T} ম্যাট্রিক্সের মাত্রা কত?",3 \times 4,3 \times 7,3 \times 3,4 \times 4,3 \times 4,3 \times 7,3 \times 3,4 \times 4,b
"\begin{vmatrix} -2 & 0 & 1 \\ -1 & -3 & 0 \\ 2 & 1 & 3 \end{vmatrix} what is the value of the cofactor of (2, 2)th entry of the determinant?","\begin{vmatrix} -2 & 0 & 1 \\ -1 & -3 & 0 \\ 2 & 1 & 3 \end{vmatrix} নির্ণায়কের (2, 2) তম সহগুণক কোনটি?",8,\text{-8},4,\text{-4},8,\text{-8},4,\text{-4},b
"A = \begin{bmatrix} 3 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 3 \end{bmatrix}
 
 Matrix A is-
 i. square matrix
 ii. diagonal matrix
 iii. idempotent matrx
 Which one is correct?","A = \begin{bmatrix} 3 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 3 \end{bmatrix}
 
 A ম্যাট্রিক্সটি হলো-
 i. বর্গ ম্যাট্রিক্স
 ii. কর্ণ ম্যাট্রিক্স
 iii. সমঘাতি ম্যাট্রিক্স
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",a
"A = \begin{bmatrix} 3 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 3 \end{bmatrix}
 
 What is the value of |A|?","A = \begin{bmatrix} 3 & 0 & 0 \\ 0 & 3 & 0 \\ 0 & 0 & 3 \end{bmatrix}
 
 |A| এর মান কত?",0,3,9,27,0,3,9,27,d
Which one of the following is non-singular matrix?,নিচের কোনটি অব্যতিক্রমী ম্যাট্রিক্স?,\begin{bmatrix} 3 & 6 \\ 2 & 4 \end{bmatrix},\begin{bmatrix} 4 & 1 \\ 8 & 2 \end{bmatrix},\begin{bmatrix} 4 & 1 \\ 2 & 3 \end{bmatrix},\begin{bmatrix} 4 & 10 \\ 2 & 5 \end{bmatrix},\begin{bmatrix} 3 & 6 \\ 2 & 4 \end{bmatrix},\begin{bmatrix} 4 & 1 \\ 8 & 2 \end{bmatrix},\begin{bmatrix} 4 & 1 \\ 2 & 3 \end{bmatrix},\begin{bmatrix} 4 & 10 \\ 2 & 5 \end{bmatrix},c
"Which one of the following is the equation of a straight line which passing through the point (2, - 3) and perpendicular to the straight line whose slope is - \frac{1}{2}?","\frac{1}{2} ঢালবিশিষ্ট সরলরেখার উপর লম্ব এবং (2, -3) বিন্দুগামী সরলরেখার সমীকরণ-",2x + y - 7 = 0,2x - y - 7 = 0,2x - y + 7 = 0,2x - y - 1 = 0,2x + y - 7 = 0,2x - y - 7 = 0,2x - y + 7 = 0,2x - y - 1 = 0,b
"A = \begin{bmatrix} 1 & 3& 5 \\ 2 & 4 & 6 \\ 4 & 6 & 8 \end{bmatrix}, B = \begin{bmatrix} 1 \\ 2 \\ 3 \end{bmatrix}
 
 According to the information-
 i. |A| = 0
 ii. order of AB = 3 \times 1
 iii. BA is determined
 Which one is correct?","A = \begin{bmatrix} 1 & 3& 5 \\ 2 & 4 & 6 \\ 4 & 6 & 8 \end{bmatrix}, B = \begin{bmatrix} 1 \\ 2 \\ 3 \end{bmatrix}
 
 তথ্যের আলোকে-
 i. |A| = 0
 ii. AB এর ক্রম 3 \times 1
 iii. BA নির্ণয়যোগ্য
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",a
"A = \begin{bmatrix} 1 & 3& 5 \\ 2 & 4 & 6 \\ 4 & 6 & 8 \end{bmatrix}, B = \begin{bmatrix} 1 \\ 2 \\ 3 \end{bmatrix}
 
 Matrix AB is-","A = \begin{bmatrix} 1 & 3& 5 \\ 2 & 4 & 6 \\ 4 & 6 & 8 \end{bmatrix}, B = \begin{bmatrix} 1 \\ 2 \\ 3 \end{bmatrix}
 
 AB ম্যাট্রিক্সটি হবে-",\begin{bmatrix} 28 \\ 22 \\ 40 \end{bmatrix},\begin{bmatrix} 22 \\ 28 \\ 40 \end{bmatrix},\begin{bmatrix} 22 & 28 & 40 \end{bmatrix},\begin{bmatrix} 28 & 22 & 40 \end{bmatrix},\begin{bmatrix} 28 \\ 22 \\ 40 \end{bmatrix},\begin{bmatrix} 22 \\ 28 \\ 40 \end{bmatrix},\begin{bmatrix} 22 & 28 & 40 \end{bmatrix},\begin{bmatrix} 28 & 22 & 40 \end{bmatrix},b
What is the angle between the straight lines x - y = 0 and x + y = 0?,x - y = 0 এবং x + y = 0 রেখাদ্বয়ের অন্তর্গত কোণ কত?,30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,d
Which one is the Cartesian equation of r = 3cos\theta?,r = 3cos\theta এর কার্তেসীয় সমীকরণ কোনটি?,x^{2} + y^{2} - 3x = 0,x^{2} + y^{2} + 3x = 0,x^{2} + y^{2} - 3y = 0,x^{2} + y^{2} + 3y = 0,x^{2} + y^{2} - 3x = 0,x^{2} + y^{2} + 3x = 0,x^{2} + y^{2} - 3y = 0,x^{2} + y^{2} + 3y = 0,a
"Straight line 2x - 3y - 1 = 0, then-
 i. slope = \frac{2}{3}
 ii. intersect the x-axis at the point \left ( \frac{1}{2}, 0 \right )
 iii. parallel equation 3x + 2y + 7 = 0
 Which one is correct?","2x - 3y - 1 = 0 সরলরেখার-
 i. ঢাল = \frac{2}{3}
 ii. x-অক্ষকে \left ( \frac{1}{2}, 0 \right ) বিন্দুতে ছেদ করে
 iii. সমান্তরাল রেখার সমীকরণ 3x + 2y + 7 = 0
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",a
"Which one of the following is the polar co-ordinates of (-1, -1)?","(-1, -1) বিন্দুর পোলার স্থানাঙ্ক কোনটি?","\left ( \sqrt{2}, 3\frac{\pi}{4} \right )","\left ( \sqrt{2}, 5\frac{\pi}{4} \right )","\left ( 2, 3\frac{\pi}{4} \right )","\left ( 2, 5\frac{\pi}{4} \right )","\left ( \sqrt{2}, 3\frac{\pi}{4} \right )","\left ( \sqrt{2}, 5\frac{\pi}{4} \right )","\left ( 2, 3\frac{\pi}{4} \right )","\left ( 2, 5\frac{\pi}{4} \right )",b
"If cos2A = \frac{3}{5}, then what is the value of sinA?","cos2A = \frac{3}{5} হলে, sinA এর মান কত?",\pm \frac{1}{\sqrt{10}},\pm \frac{1}{\sqrt{5}},\pm \sqrt{\frac{3}{5}},\frac{2}{\sqrt{5}},\pm \frac{1}{\sqrt{10}},\pm \frac{1}{\sqrt{5}},\pm \sqrt{\frac{3}{5}},\frac{2}{\sqrt{5}},b
What is the value of \lim_{x \to 0} \frac{tan bx}{sin ax}?,\lim_{x \to 0} \frac{tan bx}{sin ax} এর মান কত?,\frac{a}{b},ab,\frac{b}{a},ab^{2},\frac{a}{b},ab,\frac{b}{a},ab^{2},c
